Name	SMARTS	Reject	Accept
Cyclic sulfonic acid esters	[$([#6]1[Sv6X4](=[OX1])(=[OX1])[OX2][#6]1),$([#6]1[Sv6X4](=[OX1])(=[OX1])[OX2][#6][#6]1),$([#6]1[Sv6X4](=[OX1])(=[OX1])[OX2][#6][#6][#6]1)]		['[$([#6]1[Sv6X4](=[OX1])(=[OX1])[OX2][#6]1),$([#6]1[Sv6X4](=[OX1])(=[OX1])[OX2][#6][#6]1),$([#6]1[Sv6X4](=[OX1])(=[OX1])[OX2][#6][#6][#6]1)]']
Cyclic sulfuric acid esters	[$([#6]1[OX2][Sv6X4](=[OX1])(=[OX1])[OX2][#6][#6]1),$([#6]1[OX2][Sv6X4](=[OX1])(=[OX1])[OX2][#6][#6][#6]1)]		['[$([#6]1[OX2][Sv6X4](=[OX1])(=[OX1])[OX2][#6][#6]1),$([#6]1[OX2][Sv6X4](=[OX1])(=[OX1])[OX2][#6][#6][#6]1)]']
Halo acetates	[F,Cl,Br,I][#6][CX3](=[OX1])[OX2H1]		['[F,Cl,Br,I][#6][CX3](=[OX1])[OX2H1]']
Halo acetamides	[F,Cl,Br,I][#6][CX3](=[OX1])[NX3]		['[F,Cl,Br,I][#6][CX3](=[OX1])[NX3]']
Halo ethers	[$([F,Cl,Br,I]C[OX2]C),$([F,Cl,Br,I]CC[OX2]C)]		['[$([F,Cl,Br,I]C[OX2]C),$([F,Cl,Br,I]CC[OX2]C)]']
Haloethyl sulfides (S-mustard)	[F,Cl,Br,I][CX4][CX4][SX2]		['[F,Cl,Br,I][CX4][CX4][SX2]']
Haloethyl amines (N-mustard)	[F,Cl,Br,I][CH2][CH2][NX3]		['[F,Cl,Br,I][CH2][CH2][NX3]']
α, β-Unsaturated amides	[#6]=[#6][CX3](=[OX1])[NX3]		['[#6]=[#6][CX3](=[OX1])[NX3]']
α, β-Unsaturated nitriles	C=CC#[NX1]		['C=CC#[NX1]']
α, β-Unsaturated aldehydes	C=C[CX3]([H])=[OX1]		['C=C[CX3]([H])=[OX1]']
α, β-Unsaturated nitro compounds	[#6]=[#6][$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]		['[#6]=[#6][$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]']
α, β-Unsaturated sulfones	[#6]=[#6][Sv6X4](=[OX1])(=[OX1])		['[#6]=[#6][Sv6X4](=[OX1])(=[OX1])']
α, β-Unsaturated carboxylic acid ester (acrylates)	[#6]=[#6][CX3](=[OX1])[OX2][#6]		['[#6]=[#6][CX3](=[OX1])[OX2][#6]']
α, β-Unsaturated carboxylic acid	[CX3]=[CX3][CX3](=[OX1])[OX2H1]		['[CX3]=[CX3][CX3](=[OX1])[OX2H1]']
α, β-Unsaturated carbonyl compounds	[#6]=[#6][CX3](=[OX1])([!#1!$([OH1])])		['[#6]=[#6][CX3](=[OX1])([!#1!$([OH1])])']
