Name	SMARTS	Reject	Accept
C638_0047	Clc1ccc(cc1)C(=O)Nc1cccc(c1)c1cn2cccnc2n1		['Clc1ccc(cc1)C(=O)Nc1cccc(c1)c1cn2cccnc2n1']
3261_0589	[O-]=N(=O)c1ccc(cc1)C(=O)Nc1ccccc1C(=O)Nc1ccccc1		['[O-]=N(=O)c1ccc(cc1)C(=O)Nc1ccccc1C(=O)Nc1ccccc1']
1936_2266	CN(C)c1ccc(C=C(NC(=O)c2ccccc2)C(=O)NN=Cc2ccccc2O)cc1		['CN(C)c1ccc(C=C(NC(=O)c2ccccc2)C(=O)NN=Cc2ccccc2O)cc1']
Delavirdine	[CH3][C]([CH3])[N][c]1[c][c][n][c]([c]1)[N]2[C][C][N]([C][C]2)[C](=O)[C]3[C][c]4[c][c]([N][S](=O)(=O)[CH3])[c][c][c]4[N]3		['[CH3][C]([CH3])[N][c]1[c][c][n][c]([c]1)[N]2[C][C][N]([C][C]2)[C](=O)[C]3[C][c]4[c][c]([N][S](=O)(=O)[CH3])[c][c][c]4[N]3']
4137_1362	Clc1ccc(cc1)c1oc(cc1)C(=O)Nc1ccc(NC(=O)c2occc2)cc1		['Clc1ccc(cc1)c1oc(cc1)C(=O)Nc1ccc(NC(=O)c2occc2)cc1']
8007_4133	Oc1ccc(Cl)cc1C=NNC(=O)C(=Cc1ccccc1)NC(=O)c1ccccc1		['Oc1ccc(Cl)cc1C=NNC(=O)C(=Cc1ccccc1)NC(=O)c1ccccc1']
1699_1961	Oc1ccc(Br)cc1C=NNC(=O)c1cccc(Cl)c1		['Oc1ccc(Br)cc1C=NNC(=O)c1cccc(Cl)c1']
C453_0208	COc1cccc(c1)c1nn(C)c2sc(cc12)C(=O)NCc1ccc(C)cc1		['COc1cccc(c1)c1nn(C)c2sc(cc12)C(=O)NCc1ccc(C)cc1']
8004_2736	Oc1ccc(Br)cc1C=Nc1cccc2ccccc12		['Oc1ccc(Br)cc1C=Nc1cccc2ccccc12']
3254_3297	[O-]=N(=O)c1ccc(Cl)c(C=NNC(=O)c2cc([nH]n2)c2ccc3ccccc3c2)c1		['[O-]=N(=O)c1ccc(Cl)c(C=NNC(=O)c2cc([nH]n2)c2ccc3ccccc3c2)c1']
2293_4303	Cc1ccc(cc1)c1csc(Nc2ccccc2Cl)n1		['Cc1ccc(cc1)c1csc(Nc2ccccc2Cl)n1']
8001_9289	CN(C)c1ccc(C=C(NC(=O)c2ccccc2Cl)C(=O)NN=Cc2ccccc2O)cc1		['CN(C)c1ccc(C=C(NC(=O)c2ccccc2Cl)C(=O)NN=Cc2ccccc2O)cc1']
K786_3182	O=C(CCc1cn(Cc2ccccc2)c2ccccc12)NCc1ccccc1		['O=C(CCc1cn(Cc2ccccc2)c2ccccc12)NCc1ccccc1']
C085_1642	COc1ccccc1N1CCN(CC1)S(=O)(=O)c1ccc(Br)s1		['COc1ccccc1N1CCN(CC1)S(=O)(=O)c1ccc(Br)s1']
4554_6401	Clc1ccc(cc1)C1C(=C(NC2=C1C(=O)CCC2)SCC(=O)Nc1ccccc1)C#N		['Clc1ccc(cc1)C1C(=C(NC2=C1C(=O)CCC2)SCC(=O)Nc1ccccc1)C#N']
K781_2996	CC1CCCCN1C(=O)c1ccc(Sc2ccc(F)cc2)c(c1)N(=O)=[O-]		['CC1CCCCN1C(=O)c1ccc(Sc2ccc(F)cc2)c(c1)N(=O)=[O-]']
1_08	[#8-][C](=O)[c]1[c][c][c][c][c]1\[C]([c]2[c][c](I)[c](-[#8-])[c](I)[c]2)=[C]3\[C]=[C](I)[C](=O)[C](I)=[C]3		['[#8-][C](=O)[c]1[c][c][c][c][c]1\\[C]([c]2[c][c](I)[c](-[#8-])[c](I)[c]2)=[C]3\\[C]=[C](I)[C](=O)[C](I)=[C]3']
1_09	[O-][c]1[c](I)[c][c]2[c]([O][c]3[c](I)[c]([O-])[c](I)[c][c]3[C]2[c]5[c]([C](=O)O[#1])[c](Cl)[c](Cl)[c](Cl)[c]5Cl)[c]1I		['[O-][c]1[c](I)[c][c]2[c]([O][c]3[c](I)[c]([O-])[c](I)[c][c]3[C]2[c]5[c]([C](=O)O[#1])[c](Cl)[c](Cl)[c](Cl)[c]5Cl)[c]1I']
8002_5376	[O-]=N(=O)c1cc(cc(c1)N(=O)=[O-])C(=O)Oc1ccc(cc1)C(=O)OCc1ccccc1		['[O-]=N(=O)c1cc(cc(c1)N(=O)=[O-])C(=O)Oc1ccc(cc1)C(=O)OCc1ccccc1']
2262_4150	Oc1ccc(Br)cc1C=NNC(=O)c1cc(cc(c1)N(=O)=[O-])N(=O)=[O-]		['Oc1ccc(Br)cc1C=NNC(=O)c1cc(cc(c1)N(=O)=[O-])N(=O)=[O-]']
K832_1618	[O-]=N(=O)c1cccc(c1)C1C=C(Nc2nnnn12)c1ccc(Cl)cc1		['[O-]=N(=O)c1cccc(c1)C1C=C(Nc2nnnn12)c1ccc(Cl)cc1']
4896_5243	CCOc1ccc(Br)c(C=C2C(=O)Nc3ccc(Br)cc23)c1		['CCOc1ccc(Br)c(C=C2C(=O)Nc3ccc(Br)cc23)c1']
8008_7159	COc1cccc(C=C2SC(=Nc3ccc(C)cc3)NC2=O)c1		['COc1cccc(C=C2SC(=Nc3ccc(C)cc3)NC2=O)c1']
1_01	[Cl][c]1[c][c][c]2[s][c]([S][c]3[n][n][c]([N][C](=O)[c]4[c][c][c]([Cl])[c]([Cl])[c]4)[s]3)[n][c]2[c]1		['[Cl][c]1[c][c][c]2[s][c]([S][c]3[n][n][c]([N][C](=O)[c]4[c][c][c]([Cl])[c]([Cl])[c]4)[s]3)[n][c]2[c]1']
1_02	[O][c]1[c][c][c]([N]=[N][c]2[c][c][c](Br)[c][c]2)[c][c]1		['[O][c]1[c][c][c]([N]=[N][c]2[c][c][c](Br)[c][c]2)[c][c]1']
1_03	[O]=[C]1[O]/[C](=[C][N][c]2[c][c][c]([O][c]3[c][c][c][c][c]3)[c][c]2)/[c]4[c][c][c][c][c]14		['[O]=[C]1[O]/[C](=[C][N][c]2[c][c][c]([O][c]3[c][c][c][c][c]3)[c][c]2)/[c]4[c][c][c][c][c]14']
1_04	[O][c]1[c][c][c][c][c]1[C]=N[N][C](=O)[C](=O)[N]N=[C][c]2[c][c][c][c][c]2[O]		['[O][c]1[c][c][c][c][c]1[C]=N[N][C](=O)[C](=O)[N]N=[C][c]2[c][c][c][c][c]2[O]']
1_05	[CH3][c]1[c][c](Cl)[c][c]2[S]/[C](=[C]3/[S][c]4[c][c](Cl)[c][c]([CH3])[c]4[C]3=O)/[C](=O)[c]21		['[CH3][c]1[c][c](Cl)[c][c]2[S]/[C](=[C]3/[S][c]4[c][c](Cl)[c][c]([CH3])[c]4[C]3=O)/[C](=O)[c]21']
1_06	[O][c]1[c][c][c]2[c][c][c][c][c]2[c]1N=N[c]3[c](O)[c][c]([c]4[c][c][c][c][c]34)S([#8-])(=O)=O		['[O][c]1[c][c][c]2[c][c][c][c][c]2[c]1N=N[c]3[c](O)[c][c]([c]4[c][c][c][c][c]34)S([#8-])(=O)=O']
1_07	[O][c]1[c][c]([c]2[c][c][c][c][c]2[c]1N=N[c]3[c][c][c]4[c][c][c][c][c]4[c]3[O])S([#8-])(=O)=O		['[O][c]1[c][c]([c]2[c][c][c][c][c]2[c]1N=N[c]3[c][c][c]4[c][c][c][c][c]4[c]3[O])S([#8-])(=O)=O']
4896_1256	CC(C)(C)c1cc(C=C2C(=O)NC(=O)NC2=O)cc(c1O)C(C)(C)C		['CC(C)(C)c1cc(C=C2C(=O)NC(=O)NC2=O)cc(c1O)C(C)(C)C']
3253_2326	Oc1ccc2ccccc2c1C=NNC(=O)c1cc([nH]n1)c1ccc2ccccc2c1		['Oc1ccc2ccccc2c1C=NNC(=O)c1cc([nH]n1)c1ccc2ccccc2c1']
C094_0212	COc1ccc(cc1)C(NC(=O)Cc1cccs1)C(=O)Nc1ccc2OCCOc2c1		['COc1ccc(cc1)C(NC(=O)Cc1cccs1)C(=O)Nc1ccc2OCCOc2c1']
C226_4061	COc1ccc2c(CCc3c2onc3C(=O)Nc2cccc(O)c2)c1		['COc1ccc2c(CCc3c2onc3C(=O)Nc2cccc(O)c2)c1']
Econazole	Cl[c]1[c][c][c]([C][O][C]([C][n]2[c][c][n][c]2)[c]3[c][c][c](Cl)[c][c]3Cl)[c][c]1		['Cl[c]1[c][c][c]([C][O][C]([C][n]2[c][c][n][c]2)[c]3[c][c][c](Cl)[c][c]3Cl)[c][c]1']
4321_1036	O=C(Nc1ccc(cc1)c1nc2ccccc2s1)c1ccccc1		['O=C(Nc1ccc(cc1)c1nc2ccccc2s1)c1ccccc1']
8003_8143	[O-]=N(=O)c1ccc(NN=Cc2ccc3NCCCc3c2)c(c1)N(=O)=[O-]		['[O-]=N(=O)c1ccc(NN=Cc2ccc3NCCCc3c2)c(c1)N(=O)=[O-]']
K783_0188	COC(=O)c1ccc(N2CCc3ccccc23)c(c1)N(=O)=[O-]		['COC(=O)c1ccc(N2CCc3ccccc23)c(c1)N(=O)=[O-]']
4896_5349	COc1cc(C=C2C(=O)Nc3ccc(Br)cc23)cc(Cl)c1O		['COc1cc(C=C2C(=O)Nc3ccc(Br)cc23)cc(Cl)c1O']
C064_0401	[O-]=N(=O)c1ccc(CSc2cn(CCNC(=O)c3cccs3)c3ccccc23)cc1		['[O-]=N(=O)c1ccc(CSc2cn(CCNC(=O)c3cccs3)c3ccccc23)cc1']
C137_2180	Brc1ccc(NS(=O)(=O)c2cc(Br)cc3CCN(C(=O)C4CC4)c23)cc1		['Brc1ccc(NS(=O)(=O)c2cc(Br)cc3CCN(C(=O)C4CC4)c23)cc1']
1000_0257	[O-]=N(=O)c1cccc(c1)C(=O)Nc1nc(cs1)c1ccc(Cl)c(Cl)c1		['[O-]=N(=O)c1cccc(c1)C(=O)Nc1nc(cs1)c1ccc(Cl)c(Cl)c1']
K284_1926	Cc1ccc(NC(=O)CSc2nc3ccccc3c(=O)n2Cc2occc2)cc1		['Cc1ccc(NC(=O)CSc2nc3ccccc3c(=O)n2Cc2occc2)cc1']
8008_8367	CCC1SC(=NN=C(C)c2ccc(Br)cc2)NC1=O		['CCC1SC(=NN=C(C)c2ccc(Br)cc2)NC1=O']
1130_0084	O=C(CCc1ccccc1)Nc1sc2CCCCc2c1C#N		['O=C(CCc1ccccc1)Nc1sc2CCCCc2c1C#N']
3772_6188	Nc1c(sc2nc3CCCCc3cc12)C(=O)Nc1ccccc1		['Nc1c(sc2nc3CCCCc3cc12)C(=O)Nc1ccccc1']
3453_0991	Cc1cccc(N2C(=O)C(=C(Nc3ccccc3)C2=O)Cl)c1C		['Cc1cccc(N2C(=O)C(=C(Nc3ccccc3)C2=O)Cl)c1C']
K786_5352	CCCCSCCCNC(=O)Nc1ccc(Cl)c(Cl)c1		['CCCCSCCCNC(=O)Nc1ccc(Cl)c(Cl)c1']
3341_1057	CC(C)Oc1ccc(cc1)C(=O)Nc1cccc(c1)c1[nH]c2ccccc2n1		['CC(C)Oc1ccc(cc1)C(=O)Nc1cccc(c1)c1[nH]c2ccccc2n1']
3253_0411	Brc1ccc(C=NNC(=O)c2cccs2)cc1		['Brc1ccc(C=NNC(=O)c2cccs2)cc1']
C285_0027	Brc1ccc(NC=C2C(=O)Nc3ccccc23)cc1		['Brc1ccc(NC=C2C(=O)Nc3ccccc23)cc1']
5871_1853	Cc1ccc(Oc2ccc3C(=O)N(C(=O)c3c2)c2ccc(cc2)C(=O)O)cc1		['Cc1ccc(Oc2ccc3C(=O)N(C(=O)c3c2)c2ccc(cc2)C(=O)O)cc1']
8010_0526	Cc1ccc(OCCSc2nc(=O)c3ccccc3[nH]2)cc1		['Cc1ccc(OCCSc2nc(=O)c3ccccc3[nH]2)cc1']
5350_0194	COc1ccc(cc1)c1ccc2c(N)c(sc2n1)C(=O)Nc1ccccc1C		['COc1ccc(cc1)c1ccc2c(N)c(sc2n1)C(=O)Nc1ccccc1C']
1426_2791	Cc1ccc(NC(=O)c2cc3c(C)nn(c4ccccc4)c3s2)cc1		['Cc1ccc(NC(=O)c2cc3c(C)nn(c4ccccc4)c3s2)cc1']
2154_0429	[O-]=N(=O)c1ccc(Cl)c(c1)C(=O)Nc1cccc(NC(=O)c2ccccc2Cl)c1		['[O-]=N(=O)c1ccc(Cl)c(c1)C(=O)Nc1cccc(NC(=O)c2ccccc2Cl)c1']
8005_9141	CCOC(=O)C1=C(C)N(C(=O)C1=Cc1ccc(OC)cc1)c1ccccc1		['CCOC(=O)C1=C(C)N(C(=O)C1=Cc1ccc(OC)cc1)c1ccccc1']
1761_2016	COc1ccc(cc1)C(=O)NN=Cc1cc(Cl)ccc1O		['COc1ccc(cc1)C(=O)NN=Cc1cc(Cl)ccc1O']
5948_4338	COc1ccc(Br)cc1C1C(=C(N)Oc2cc3OCOc3cc12)C#N		['COc1ccc(Br)cc1C1C(=C(N)Oc2cc3OCOc3cc12)C#N']
1693_0015	COc1cc(C=NNC(=O)Cn2c3ccccc3c(=O)c3ccccc23)ccc1O		['COc1cc(C=NNC(=O)Cn2c3ccccc3c(=O)c3ccccc23)ccc1O']
3253_0416	Oc1c(Br)cc(Br)cc1C=NNC(=O)c1cccs1		['Oc1c(Br)cc(Br)cc1C=NNC(=O)c1cccs1']
4077_0257	Brc1ccc2OC3(CCCC3)N3N=C(CC3c2c1)c1cccs1		['Brc1ccc2OC3(CCCC3)N3N=C(CC3c2c1)c1cccs1']
1_12	[O][c]1[c][c][c]([c][c]1[O])[c]2[c][s][c]([N][c]3[c][c][c](F)[c][c]3F)[n]2		['[O][c]1[c][c][c]([c][c]1[O])[c]2[c][s][c]([N][c]3[c][c][c](F)[c][c]3F)[n]2']
1_11	[O][N+](=O)[c]1[c][c][c]([N][N]2[C](=O)[C]3[C]([C]2=O)[C]4(Cl)[C](=[C](Cl)[C]3(Cl)[C]4(Cl)Cl)Cl)[c]([c]1)[N+](=O)[O-]		['[O][N+](=O)[c]1[c][c][c]([N][N]2[C](=O)[C]3[C]([C]2=O)[C]4(Cl)[C](=[C](Cl)[C]3(Cl)[C]4(Cl)Cl)Cl)[c]([c]1)[N+](=O)[O-]']
1_10	[CH3][C]([CH3])[c]1[c][c][c](/[C]=[C]2/[C](=O)[N][c]3[c][c][c][c][c]23)[c][c]1		['[CH3][C]([CH3])[c]1[c][c][c](/[C]=[C]2/[C](=O)[N][c]3[c][c][c][c][c]23)[c][c]1']
1184_1702	[O-]=N(=O)c1ccc(NN=c2c(=O)c3ccccc3c2=O)c(c1)N(=O)=[O-]		['[O-]=N(=O)c1ccc(NN=c2c(=O)c3ccccc3c2=O)c(c1)N(=O)=[O-]']
4151_0542	Cc1ccc(NC(=O)C2CC(=O)N=C(Nc3ccc(C)cc3)S2)cc1		['Cc1ccc(NC(=O)C2CC(=O)N=C(Nc3ccc(C)cc3)S2)cc1']
3572_4569	O=C1N(C(c2ccccc2)c2c([nH]nc12)c1ccccc1)c1ccccc1		['O=C1N(C(c2ccccc2)c2c([nH]nc12)c1ccccc1)c1ccccc1']
3235_0039	Brc1ccc2NC(=O)C(=Nc3ccc4ccccc4c3)c2c1		['Brc1ccc2NC(=O)C(=Nc3ccc4ccccc4c3)c2c1']
8002_2154	[O-]=N(=O)c1cccc(c1)C(=O)Oc1ccc(C=NNC(=O)c2cccc(Br)c2)cc1		['[O-]=N(=O)c1cccc(c1)C(=O)Oc1ccc(C=NNC(=O)c2cccc(Br)c2)cc1']
2043_6447	CCOc1ccccc1C(=O)Nc1cc(Cl)ccc1Cl		['CCOc1ccccc1C(=O)Nc1cc(Cl)ccc1Cl']
C094_0141	CCN(C(C(=O)Nc1ccc(OC)cc1)c1cc2OCOc2cc1N(=O)=[O-])c1cccc(C)c1		['CCN(C(C(=O)Nc1ccc(OC)cc1)c1cc2OCOc2cc1N(=O)=[O-])c1cccc(C)c1']
2181_1127	BrC(=Cc1ccccc1)C=NNC(=O)CNc1cccc2ccccc12		['BrC(=Cc1ccccc1)C=NNC(=O)CNc1cccc2ccccc12']
0663_0335	Cc1cccc(NC(=O)c2ccc(cc2)S(=O)(=O)N2CCCCC2)c1		['Cc1cccc(NC(=O)c2ccc(cc2)S(=O)(=O)N2CCCCC2)c1']
4456_0561	O=C1c2ccccc2C(=O)c2c1cccc2S(=O)(=O)Nc1ccccc1		['O=C1c2ccccc2C(=O)c2c1cccc2S(=O)(=O)Nc1ccccc1']
0945_0278	Cc1cccc(Nc2nc(cs2)c2ccccc2)c1		['Cc1cccc(Nc2nc(cs2)c2ccccc2)c1']
C131_0049	Clc1ccc(C=C2C(=O)Nc3ccc(Cl)cc23)cc1		['Clc1ccc(C=C2C(=O)Nc3ccc(Cl)cc23)cc1']
Indigo	O=[C]1[c]2[c][c][c][c][c]2[N]\[C]1=[C]3\[N][c]4[c][c][c][c][c]4[C]3=O		['O=[C]1[c]2[c][c][c][c][c]2[N]\\[C]1=[C]3\\[N][c]4[c][c][c][c][c]4[C]3=O']
4157_1124	COc1ccc(C=C2CCc3cc(OC)ccc3C2=O)cc1		['COc1ccc(C=C2CCc3cc(OC)ccc3C2=O)cc1']
0384_0038	Nc1ccc(cc1)C1(c2ccc(N)cc2)c2ccccc2c2ccccc12		['Nc1ccc(cc1)C1(c2ccc(N)cc2)c2ccccc2c2ccccc12']
1252_1580	Oc1ccc2ccccc2c1C=Nc1ccc(C=C)cc1		['Oc1ccc2ccccc2c1C=Nc1ccc(C=C)cc1']
5223_6433	CCOc1cc(O)c(cc1CC)c1[nH]ncc1c1ccccc1		['CCOc1cc(O)c(cc1CC)c1[nH]ncc1c1ccccc1']
C730_0394	Cc1ccc(NC(=O)C(=O)c2c(C)[nH]c3ccccc23)cc1C		['Cc1ccc(NC(=O)C(=O)c2c(C)[nH]c3ccccc23)cc1C']
5750_1180	CCOc1ccc2nc(NC(=O)COc3ccccc3)sc2c1		['CCOc1ccc2nc(NC(=O)COc3ccccc3)sc2c1']
1523_5774	Oc1ccc(Cl)cc1C=NNC(=O)c1cccs1		['Oc1ccc(Cl)cc1C=NNC(=O)c1cccs1']
3002_1335	CC1CCN(CC1)c1nc(nc2ccccc12)c1ccccc1		['CC1CCN(CC1)c1nc(nc2ccccc12)c1ccccc1']
0584_0340	O=C(OCC(=O)c1ccccc1)C(c1ccccc1)c1ccccc1		['O=C(OCC(=O)c1ccccc1)C(c1ccccc1)c1ccccc1']
3993_4237	CN(C)c1ccc(NC(=O)c2oc3ccccc3c2)cc1		['CN(C)c1ccc(NC(=O)c2oc3ccccc3c2)cc1']
3330_4053	CCOc1ccc2c(cc(=O)oc2c1)c1ccccc1		['CCOc1ccc2c(cc(=O)oc2c1)c1ccccc1']
4476_0252	CC1=C(C(C(=C(C)N1)C(=O)OCC=C)c1cccc(c1)N(=O)=[O-])C(=O)OCC=C		['CC1=C(C(C(=C(C)N1)C(=O)OCC=C)c1cccc(c1)N(=O)=[O-])C(=O)OCC=C']
0350_0137	Oc1ccccc1C=NN=CC=Cc1ccccc1		['Oc1ccccc1C=NN=CC=Cc1ccccc1']
8009_3091	CCSc1nc2ccc(NC(=O)CSc3nc4ccc(N)cc4s3)cc2s1		['CCSc1nc2ccc(NC(=O)CSc3nc4ccc(N)cc4s3)cc2s1']
3226_2061	Cc1cccc(C)c1OCC(=O)Nc1ccc(cc1)c1[nH]c2ccccc2n1		['Cc1cccc(C)c1OCC(=O)Nc1ccc(cc1)c1[nH]c2ccccc2n1']
2357_3050	O=C(NN=Cc1c[nH]c2ccccc12)c1cc([nH]n1)c1ccc(OCc2ccccc2)cc1		['O=C(NN=Cc1c[nH]c2ccccc12)c1cc([nH]n1)c1ccc(OCc2ccccc2)cc1']
0054_0133	CCCC1CCC(CC1)c1ccc(cc1)C(=NO)N		['CCCC1CCC(CC1)c1ccc(cc1)C(=NO)N']
2291_3304	CCCCOc1ccc(cc1)C(=O)C(=c1[nH]c2ccccc2[nH]1)C#N		['CCCCOc1ccc(cc1)C(=O)C(=c1[nH]c2ccccc2[nH]1)C#N']
K072_0220	Cc1ccsc1C=NNc1nc2ccccc2s1		['Cc1ccsc1C=NNc1nc2ccccc2s1']
K284_5355	CC1CN(CCN1c1cccc(C)c1)C(=O)CCn1c(=S)[nH]c2cc3OCOc3cc2c1=O		['CC1CN(CCN1c1cccc(C)c1)C(=O)CCn1c(=S)[nH]c2cc3OCOc3cc2c1=O']
2108_1341	Oc1ccc(Br)cc1C=NNC(=O)c1ccc(Cl)cc1Cl		['Oc1ccc(Br)cc1C=NNC(=O)c1ccc(Cl)cc1Cl']
2_20	[C]1[C][N][C][C]([C]1)[C]=[C]2[c]3[c][c][c][c][c]3[c]4[c][c][c][c][c]24		['[C]1[C][N][C][C]([C]1)[C]=[C]2[c]3[c][c][c][c][c]3[c]4[c][c][c][c][c]24']
1588_0383	OC(=O)c1ccc(cc1)c1oc(C=C2SC(=O)N(C2=O)c2ccccc2)cc1		['OC(=O)c1ccc(cc1)c1oc(C=C2SC(=O)N(C2=O)c2ccccc2)cc1']
