Name	Group	SMARTS	Author	Article	Alert_ID	Reject	Accept
Cyclic sulfonic acid esters	SMARTS: 	[$([#6]1[Sv6X4](=[OX1])(=[OX1])[OX2][#6]1),$([#6]1[Sv6X4](=[OX1])(=[OX1])[OX2][#6][#6]1),$([#6]1[Sv6X4](=[OX1])(=[OX1])[OX2][#6][#6][#6]1)]	Hermens, JL, 	Electrophiles and acute toxicity to fish.	TA618		['[$([#6]1[Sv6X4](=[OX1])(=[OX1])[OX2][#6]1),$([#6]1[Sv6X4](=[OX1])(=[OX1])[OX2][#6][#6]1),$([#6]1[Sv6X4](=[OX1])(=[OX1])[OX2][#6][#6][#6]1)]']
Cyclic sulfuric acid esters	SMARTS: 	[$([#6]1[OX2][Sv6X4](=[OX1])(=[OX1])[OX2][#6][#6]1),$([#6]1[OX2][Sv6X4](=[OX1])(=[OX1])[OX2][#6][#6][#6]1)]	Hermens, JL, 	Electrophiles and acute toxicity to fish.	TA619		['[$([#6]1[OX2][Sv6X4](=[OX1])(=[OX1])[OX2][#6][#6]1),$([#6]1[OX2][Sv6X4](=[OX1])(=[OX1])[OX2][#6][#6][#6]1)]']
Halo acetates	X = F, Cl, Br, I	[F,Cl,Br,I][#6][CX3](=[OX1])[OX2H1]	Hermens, JL, 	Electrophiles and acute toxicity to fish.	TA620		['[F,Cl,Br,I][#6][CX3](=[OX1])[OX2H1]']
Halo acetamides	R = any atom/ group; X = F, Cl, Br, I	[F,Cl,Br,I][#6][CX3](=[OX1])[NX3]	Hermens, JL, 	Electrophiles and acute toxicity to fish.	TA621		['[F,Cl,Br,I][#6][CX3](=[OX1])[NX3]']
Halo ethers	R = any atom/ group; X = F, Cl, Br, I	[$([F,Cl,Br,I]C[OX2]C),$([F,Cl,Br,I]CC[OX2]C)]	Hermens, JL, 	Electrophiles and acute toxicity to fish.	TA622		['[$([F,Cl,Br,I]C[OX2]C),$([F,Cl,Br,I]CC[OX2]C)]']
Haloethyl sulfides (S-mustard)	R = any atom/ group; X = F, Cl, Br, I	[F,Cl,Br,I][CX4][CX4][SX2]	Hermens, JL, 	Electrophiles and acute toxicity to fish.	TA623		['[F,Cl,Br,I][CX4][CX4][SX2]']
Haloethyl amines (N-mustard)	R = any atom/ group; X = F, Cl, Br, I	[F,Cl,Br,I][CH2][CH2][NX3]	Hermens, JL, 	Electrophiles and acute toxicity to fish.	TA624		['[F,Cl,Br,I][CH2][CH2][NX3]']
α, β-Unsaturated amides	R = any atom/ group	[#6]=[#6][CX3](=[OX1])[NX3]	Hermens, JL, 	Electrophiles and acute toxicity to fish.	TA625		['[#6]=[#6][CX3](=[OX1])[NX3]']
α, β-Unsaturated nitriles	SMARTS: 	C=CC#[NX1]	Hermens, JL, 	Electrophiles and acute toxicity to fish.	TA626		['C=CC#[NX1]']
α, β-Unsaturated aldehydes	SMARTS: 	C=C[CX3]([H])=[OX1]	Hermens, JL, 	Electrophiles and acute toxicity to fish.	TA627		['C=C[CX3]([H])=[OX1]']
α, β-Unsaturated nitro compounds	SMARTS: 	[#6]=[#6][$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]	Hermens, JL, 	Electrophiles and acute toxicity to fish.	TA628		['[#6]=[#6][$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]']
α, β-Unsaturated sulfones	R = any atom/ group	[#6]=[#6][Sv6X4](=[OX1])(=[OX1])	Hermens, JL, 	Electrophiles and acute toxicity to fish.	TA629		['[#6]=[#6][Sv6X4](=[OX1])(=[OX1])']
α, β-Unsaturated carboxylic acid ester (acrylates)	R = any carbon atom	[#6]=[#6][CX3](=[OX1])[OX2][#6]	Hermens, JL, 	Electrophiles and acute toxicity to fish.	TA630		['[#6]=[#6][CX3](=[OX1])[OX2][#6]']
α, β-Unsaturated carboxylic acid	SMARTS: 	[CX3]=[CX3][CX3](=[OX1])[OX2H1]	Hermens, JL, 	Electrophiles and acute toxicity to fish.	TA631		['[CX3]=[CX3][CX3](=[OX1])[OX2H1]']
α, β-Unsaturated carbonyl compounds	R = any atom/ group except hydrogen	[#6]=[#6][CX3](=[OX1])([!#1!$([OH1])])	Hermens, JL, 	Electrophiles and acute toxicity to fish.	TA632		['[#6]=[#6][CX3](=[OX1])([!#1!$([OH1])])']
Quinones	SMARTS: 	[#6X3]1=,:[#6X3]-,:[#6X3](=[OX1])-,:[#6X3]=,:[#6X3]-,:[#6X3]1(=[OX1])	Hermens, JL, 	Electrophiles and acute toxicity to fish.	TA633		['[#6X3]1=,:[#6X3]-,:[#6X3](=[OX1])-,:[#6X3]=,:[#6X3]-,:[#6X3]1(=[OX1])']
Alkyl halide	R = alkyl	[*!$([a])&!$(C=C)&!$(C#C)][CX4][F,Cl,Br,I]	Hermens, JL, 	Electrophiles and acute toxicity to fish.	TA634		['[*!$([a])&!$(C=C)&!$(C#C)][CX4][F,Cl,Br,I]']
Alkyl halides with only C, H and halogen atom	SMARTS: 	NOT [!#6!#1!F!Cl!Br!I] AND [F,Cl,Br,I][CX4][*&!$(C=C)&!$(C#C)&!$([a])]	Hermens, JL, 	Electrophiles and acute toxicity to fish.	TA635	['[!#6!#1!F!Cl!Br!I]']	['[F,Cl,Br,I][CX4][*&!$(C=C)&!$(C#C)&!$([a])]']
Aryl halide	Ar = any aromatic atom	[a!R0][F,Cl,Br,I]	Hermens, JL, 	Electrophiles and acute toxicity to fish.	TA636		['[a!R0][F,Cl,Br,I]']
