Name	Group	SMARTS	Author	Article	Alert_ID	Reject	Accept
disulfonyliminoquinone	Linkage = 'MED' (PRI = 1.3, PSI = 2.4)	S(=O)(=O)N=C1C=CC(=NS(=O)(=O))C=C1	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1778		['S(=O)(=O)N=C1C=CC(=NS(=O)(=O))C=C1']
perchloro_cp	Linkage = 'MED' (PRI = 1.3, PSI = 2.24)	C1(Cl)(Cl)C(Cl)C(Cl)=C(Cl)C1(Cl)	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1779		['C1(Cl)(Cl)C(Cl)C(Cl)=C(Cl)C1(Cl)']
hetero_silyl	Linkage = 'HIGH' (PRI = 1.31, PSI = 3.01)	[Si]~[!#6]	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1780		['[Si]~[!#6]']
ortho_quinone	Linkage = 'HIGH' (PRI = 1.33, PSI = 4.72)	[CH1,$(C(-[Cl,Br,I]))]1=CC(=[O,N,S;!R])C(=[O,N,S])C=[CH1,$(C(-[Cl,Br,I]))]1	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1781		['[CH1,$(C(-[Cl,Br,I]))]1=CC(=[O,N,S;!R])C(=[O,N,S])C=[CH1,$(C(-[Cl,Br,I]))]1']
meldrums_acid_deriv	Linkage = 'HIGH' (PRI = 1.35, PSI = 3.93)	O=C1OC(C)(C)OC(C1)=O	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1782		['O=C1OC(C)(C)OC(C1)=O']
sulfonyl_anhydride	Linkage = 'MED' (PRI = 1.36, PSI = 5)	[$(C(=O)),$(S(=O)(=O))][O,S](S(=O)(=O))	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1783		['[$(C(=O)),$(S(=O)(=O))][O,S](S(=O)(=O))']
tertiary_halide_sulfate	Linkage = 'HIGH' (PRI = 1.36, PSI = 5.16)	[C;X4](-[Cl,Br,I,$(O(S(=O)(=O)[!$(N);!$([O&D1])]))])(-[c,C])(-[c,C])(-[c,C])	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1784		['[C;X4](-[Cl,Br,I,$(O(S(=O)(=O)[!$(N);!$([O&D1])]))])(-[c,C])(-[c,C])(-[c,C])']
4_pyridone_3_5_EWG	Linkage = 'MED' (PRI = 1.4, PSI = 4.47)	[#7,#8,#16]1-,:[#6;H]=,:[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])-,:[#6](=O)-,:[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])=,:[#6;H]1	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1785		['[#7,#8,#16]1-,:[#6;H]=,:[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])-,:[#6](=O)-,:[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])=,:[#6;H]1']
azo_filter4	Linkage = 'NR' (PRI = 1.4, PSI = 2)	a-N=N-[N;H2]	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1786		['a-N=N-[N;H2]']
trihalovinyl_heteroatom	Linkage = 'NR' (PRI = 1.4, PSI = 5)	C(-[Cl,Br,I])(-[Cl,Br,I])=C(-[Cl,Br,I])(-[N,O,S])	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1787		['C(-[Cl,Br,I])(-[Cl,Br,I])=C(-[Cl,Br,I])(-[N,O,S])']
